日付,時間,役,順位,名前,得票数
04/19,17,四天王,4,莉緒,308
04/19,17,四天王,5,歩,211
04/19,17,四天王,6,風花,89
04/19,17,四天王,7,志保,60
04/19,17,四天王,8,のり子,51
04/19,17,四天王,9,瑞希,47
04/19,17,四天王,10,恵美,46
04/19,18,四天王,1,奈緒,820
04/19,18,四天王,2,亜利沙,803
04/19,18,四天王,3,茜,437
04/19,18,四天王,4,莉緒,319
04/19,18,四天王,5,歩,214
04/19,18,四天王,6,風花,89
04/19,18,四天王,7,志保,60
04/19,18,四天王,8,のり子,51
04/19,18,四天王,9,瑞希,47
04/19,18,四天王,10,恵美,47
04/19,19,四天王,1,奈緒,839
04/19,19,四天王,2,亜利沙,818
04/19,19,四天王,3,茜,444
04/19,19,四天王,4,莉緒,325
04/19,19,四天王,5,歩,216
04/19,19,四天王,6,風花,90
04/19,19,四天王,7,志保,60
04/19,19,四天王,8,のり子,52
04/19,19,四天王,9,恵美,48
04/19,19,四天王,10,瑞希,47
04/19,20,四天王,1,奈緒,855
04/19,20,四天王,2,亜利沙,837
04/19,20,四天王,3,茜,449
04/19,20,四天王,4,莉緒,335
04/19,20,四天王,5,歩,222
04/19,20,四天王,6,風花,90
04/19,20,四天王,7,志保,62
04/19,20,四天王,8,のり子,52
04/19,20,四天王,9,恵美,48
04/19,20,四天王,10,瑞希,47
04/19,21,四天王,1,奈緒,867
04/19,21,四天王,2,亜利沙,855
04/19,21,四天王,3,茜,456
04/19,21,四天王,4,莉緒,336
04/19,21,四天王,5,歩,226
04/19,21,四天王,6,風花,91
04/19,21,四天王,7,志保,64
04/19,21,四天王,8,のり子,54
04/19,21,四天王,9,恵美,50
04/19,21,四天王,10,瑞希,47
04/19,22,四天王,1,奈緒,899
04/19,22,四天王,2,亜利沙,886
04/19,22,四天王,3,茜,469
04/19,22,四天王,4,莉緒,348
04/19,22,四天王,5,歩,243
04/19,22,四天王,6,風花,94
04/19,22,四天王,7,志保,67
04/19,22,四天王,8,のり子,55
04/19,22,四天王,9,恵美,52
04/19,22,四天王,10,朋花,51
04/19,23,四天王,1,奈緒,920
04/19,23,四天王,2,亜利沙,907
04/19,23,四天王,3,茜,483
04/19,23,四天王,4,莉緒,359
04/19,23,四天王,5,歩,259
04/19,23,四天王,6,風花,95
04/19,23,四天王,7,志保,70
04/19,23,四天王,8,のり子,58
04/19,23,四天王,9,恵美,53
04/19,23,四天王,10,朋花,51
04/20,0,四天王,1,亜利沙,961
04/20,0,四天王,2,奈緒,951
04/20,0,四天王,3,茜,492
04/20,0,四天王,4,莉緒,386
04/20,0,四天王,5,歩,267
04/20,0,四天王,6,風花,103
04/20,0,四天王,7,志保,72
04/20,0,四天王,8,のり子,58
04/20,0,四天王,9,恵美,54
04/20,0,四天王,10,朋花,51
