日付,時間,役,順位,名前,得票数
04/19,17,霊,9,莉緒,38
04/19,17,霊,10,志保,32
04/19,18,霊,1,紗代子,872
04/19,18,霊,2,麗花,867
04/19,18,霊,3,美也,293
04/19,18,霊,4,瑞希,91
04/19,18,霊,5,杏奈,76
04/19,18,霊,6,琴葉,57
04/19,18,霊,7,ジュリア,48
04/19,18,霊,8,まつり,44
04/19,18,霊,9,莉緒,38
04/19,18,霊,10,志保,32
04/19,19,霊,1,紗代子,899
04/19,19,霊,2,麗花,878
04/19,19,霊,3,美也,298
04/19,19,霊,4,瑞希,91
04/19,19,霊,5,杏奈,76
04/19,19,霊,6,琴葉,57
04/19,19,霊,7,ジュリア,48
04/19,19,霊,8,まつり,44
04/19,19,霊,9,莉緒,38
04/19,19,霊,10,志保,32
04/19,20,霊,1,紗代子,918
04/19,20,霊,2,麗花,898
04/19,20,霊,3,美也,304
04/19,20,霊,4,瑞希,92
04/19,20,霊,5,杏奈,76
04/19,20,霊,6,琴葉,57
04/19,20,霊,7,ジュリア,48
04/19,20,霊,8,まつり,48
04/19,20,霊,9,莉緒,38
04/19,20,霊,10,可憐,33
04/19,21,霊,1,紗代子,938
04/19,21,霊,2,麗花,923
04/19,21,霊,3,美也,308
04/19,21,霊,4,瑞希,93
04/19,21,霊,5,杏奈,76
04/19,21,霊,6,琴葉,57
04/19,21,霊,7,まつり,49
04/19,21,霊,8,ジュリア,48
04/19,21,霊,9,莉緒,38
04/19,21,霊,10,可憐,33
04/19,22,霊,1,紗代子,967
04/19,22,霊,2,麗花,967
04/19,22,霊,3,美也,315
04/19,22,霊,4,瑞希,94
04/19,22,霊,5,杏奈,78
04/19,22,霊,6,琴葉,59
04/19,22,霊,7,まつり,49
04/19,22,霊,8,ジュリア,48
04/19,22,霊,9,莉緒,38
04/19,22,霊,10,可憐,33
04/19,23,霊,1,麗花,1018
04/19,23,霊,2,紗代子,1011
04/19,23,霊,3,美也,319
04/19,23,霊,4,瑞希,94
04/19,23,霊,5,杏奈,78
