日付,時間,役,順位,名前,得票数
04/19,16,用心棒,7,エミリー,68
04/19,16,用心棒,8,恵美,35
04/19,16,用心棒,9,莉緒,32
04/19,16,用心棒,10,風花,27
04/19,17,用心棒,1,のり子,584
04/19,17,用心棒,2,志保,357
04/19,17,用心棒,3,海美,300
04/19,17,用心棒,4,ジュリア,201
04/19,17,用心棒,5,昴,125
04/19,17,用心棒,6,瑞希,108
04/19,17,用心棒,7,エミリー,68
04/19,17,用心棒,8,恵美,35
04/19,17,用心棒,9,莉緒,32
04/19,17,用心棒,10,まつり,28
04/19,18,用心棒,1,のり子,589
04/19,18,用心棒,2,志保,369
04/19,18,用心棒,3,海美,314
04/19,18,用心棒,4,ジュリア,201
04/19,18,用心棒,5,昴,126
04/19,18,用心棒,6,瑞希,111
04/19,18,用心棒,7,エミリー,69
04/19,18,用心棒,8,恵美,35
04/19,18,用心棒,9,莉緒,33
04/19,18,用心棒,10,まつり,28
04/19,19,用心棒,1,のり子,594
04/19,19,用心棒,2,志保,388
04/19,19,用心棒,3,海美,316
04/19,19,用心棒,4,ジュリア,206
04/19,19,用心棒,5,昴,126
04/19,19,用心棒,6,瑞希,111
04/19,19,用心棒,7,エミリー,69
04/19,19,用心棒,8,恵美,35
04/19,19,用心棒,9,莉緒,33
04/19,19,用心棒,10,まつり,31
04/19,20,用心棒,1,のり子,617
04/19,20,用心棒,2,志保,396
04/19,20,用心棒,3,海美,328
04/19,20,用心棒,4,ジュリア,207
04/19,20,用心棒,5,昴,128
04/19,20,用心棒,6,瑞希,111
04/19,20,用心棒,7,エミリー,71
04/19,20,用心棒,8,恵美,35
04/19,20,用心棒,9,莉緒,33
04/19,20,用心棒,10,まつり,31
04/19,21,用心棒,1,のり子,628
04/19,21,用心棒,2,志保,404
04/19,21,用心棒,3,海美,329
04/19,21,用心棒,4,ジュリア,209
04/19,21,用心棒,5,昴,128
04/19,21,用心棒,6,瑞希,112
04/19,21,用心棒,7,エミリー,71
04/19,21,用心棒,8,恵美,38
