日付,時間,役,順位,名前,得票数
04/19,16,風来坊,6,瑞希,190
04/19,16,風来坊,7,恵美,120
04/19,16,風来坊,8,未来,113
04/19,16,風来坊,9,静香,111
04/19,16,風来坊,10,このみ,108
04/19,17,風来坊,1,ジュリア,896
04/19,17,風来坊,2,杏奈,332
04/19,17,風来坊,3,翼,281
04/19,17,風来坊,4,昴,210
04/19,17,風来坊,5,奈緒,200
04/19,17,風来坊,6,瑞希,191
04/19,17,風来坊,7,恵美,127
04/19,17,風来坊,8,未来,113
04/19,17,風来坊,9,静香,111
04/19,17,風来坊,10,このみ,109
04/19,18,風来坊,1,ジュリア,910
04/19,18,風来坊,2,杏奈,342
04/19,18,風来坊,3,翼,285
04/19,18,風来坊,4,昴,212
04/19,18,風来坊,5,奈緒,203
04/19,18,風来坊,6,瑞希,193
04/19,18,風来坊,7,恵美,129
04/19,18,風来坊,8,未来,115
04/19,18,風来坊,9,静香,111
04/19,18,風来坊,10,このみ,110
04/19,19,風来坊,1,ジュリア,917
04/19,19,風来坊,2,杏奈,346
04/19,19,風来坊,3,翼,288
04/19,19,風来坊,4,昴,213
04/19,19,風来坊,5,奈緒,210
04/19,19,風来坊,6,瑞希,195
04/19,19,風来坊,7,恵美,129
04/19,19,風来坊,8,未来,116
04/19,19,風来坊,9,このみ,112
04/19,19,風来坊,10,静香,111
04/19,20,風来坊,1,ジュリア,932
04/19,20,風来坊,2,杏奈,349
04/19,20,風来坊,3,翼,295
04/19,20,風来坊,4,奈緒,217
04/19,20,風来坊,5,昴,214
04/19,20,風来坊,6,瑞希,195
04/19,20,風来坊,7,恵美,134
04/19,20,風来坊,8,未来,117
04/19,20,風来坊,9,静香,113
04/19,20,風来坊,10,このみ,112
04/19,21,風来坊,1,ジュリア,944
04/19,21,風来坊,2,杏奈,357
04/19,21,風来坊,3,翼,311
04/19,21,風来坊,4,昴,225
04/19,21,風来坊,5,奈緒,223
04/19,21,風来坊,6,瑞希,203
04/19,21,風来坊,7,恵美,138
04/19,21,風来坊,8,未来,121
04/19,21,風来坊,9,このみ,116
04/19,21,風来坊,10,静香,115
04/19,22,風来坊,1,ジュリア,965
04/19,22,風来坊,2,杏奈,365
04/19,22,風来坊,3,翼,315
04/19,22,風来坊,4,昴,234
04/19,22,風来坊,5,奈緒,225
04/19,22,風来坊,6,瑞希,205
04/19,22,風来坊,7,恵美,145
04/19,22,風来坊,8,未来,122
04/19,22,風来坊,9,静香,119
04/19,22,風来坊,10,このみ,117
04/19,23,風来坊,1,ジュリア,981
04/19,23,風来坊,2,杏奈,377
04/19,23,風来坊,3,翼,333
04/19,23,風来坊,4,昴,236
04/19,23,風来坊,5,奈緒,227
04/19,23,風来坊,6,瑞希,215
04/19,23,風来坊,7,恵美,148
04/19,23,風来坊,8,静香,123
04/19,23,風来坊,9,このみ,123
04/19,23,風来坊,10,未来,122
04/20,0,風来坊,1,ジュリア,1008
04/20,0,風来坊,2,杏奈,383
04/20,0,風来坊,3,翼,358
04/20,0,風来坊,4,昴,244
04/20,0,風来坊,5,奈緒,234
04/20,0,風来坊,6,瑞希,223
04/20,0,風来坊,7,恵美,154
04/20,0,風来坊,8,静香,127
04/20,0,風来坊,9,未来,126
04/20,0,風来坊,10,このみ,124
04/20,1,風来坊,1,ジュリア,1154
04/20,1,風来坊,2,翼,438
04/20,1,風来坊,3,杏奈,398
04/20,1,風来坊,4,昴,260
04/20,1,風来坊,5,奈緒,255
04/20,1,風来坊,6,瑞希,229
04/20,1,風来坊,7,恵美,163
04/20,1,風来坊,8,未来,136
04/20,1,風来坊,9,静香,135
04/20,1,風来坊,10,このみ,132
04/20,2,風来坊,1,ジュリア,1185
04/20,2,風来坊,2,翼,453
04/20,2,風来坊,3,杏奈,404
04/20,2,風来坊,4,昴,262
04/20,2,風来坊,5,奈緒,259
04/20,2,風来坊,6,瑞希,233
04/20,2,風来坊,7,恵美,171
04/20,2,風来坊,8,静香,142
04/20,2,風来坊,9,未来,139
04/20,2,風来坊,10,このみ,133
04/20,3,風来坊,1,ジュリア,1205
04/20,3,風来坊,2,翼,460
04/20,3,風来坊,3,杏奈,405
04/20,3,風来坊,4,昴,264
04/20,3,風来坊,5,奈緒,262
04/20,3,風来坊,6,瑞希,235
04/20,3,風来坊,7,恵美,171
04/20,3,風来坊,8,静香,142
04/20,3,風来坊,9,未来,140
04/20,3,風来坊,10,このみ,134
04/20,4,風来坊,1,ジュリア,1209
04/20,4,風来坊,2,翼,470
04/20,4,風来坊,3,杏奈,407
04/20,4,風来坊,4,昴,269
04/20,4,風来坊,5,奈緒,268
04/20,4,風来坊,6,瑞希,235
04/20,4,風来坊,7,恵美,172
04/20,4,風来坊,8,静香,148
04/20,4,風来坊,9,未来,141
04/20,4,風来坊,10,このみ,134
04/20,5,風来坊,1,ジュリア,1215
04/20,5,風来坊,2,翼,481
04/20,5,風来坊,3,杏奈,413
04/20,5,風来坊,4,昴,274
04/20,5,風来坊,5,奈緒,270
04/20,5,風来坊,6,瑞希,235
04/20,5,風来坊,7,恵美,172
04/20,5,風来坊,8,静香,148
04/20,5,風来坊,9,未来,145
04/20,5,風来坊,10,このみ,134
04/20,6,風来坊,1,ジュリア,1226
04/20,6,風来坊,2,翼,484
04/20,6,風来坊,3,杏奈,416
04/20,6,風来坊,4,昴,283
04/20,6,風来坊,5,奈緒,271
04/20,6,風来坊,6,瑞希,236
04/20,6,風来坊,7,恵美,178
04/20,6,風来坊,8,静香,152
04/20,6,風来坊,9,未来,150
04/20,6,風来坊,10,このみ,135
04/20,7,風来坊,1,ジュリア,1263
04/20,7,風来坊,2,翼,499
04/20,7,風来坊,3,杏奈,429
04/20,7,風来坊,4,昴,284
04/20,7,風来坊,5,奈緒,275
04/20,7,風来坊,6,瑞希,237
04/20,7,風来坊,7,恵美,180
