日付,時間,役,順位,名前,得票数
04/19,16,お嬢,5,琴葉,218
04/19,16,お嬢,6,エミリー,172
04/19,16,お嬢,7,まつり,171
04/19,16,お嬢,8,紗代子,104
04/19,16,お嬢,9,志保,101
04/19,16,お嬢,10,朋花,91
04/19,17,お嬢,1,桃子,978
04/19,17,お嬢,2,千鶴,676
04/19,17,お嬢,3,静香,352
04/19,17,お嬢,4,星梨花,241
04/19,17,お嬢,5,琴葉,218
04/19,17,お嬢,6,エミリー,172
04/19,17,お嬢,7,まつり,171
04/19,17,お嬢,8,紗代子,104
04/19,17,お嬢,9,志保,101
04/19,17,お嬢,10,朋花,91
04/19,18,お嬢,1,桃子,983
04/19,18,お嬢,2,千鶴,682
04/19,18,お嬢,3,静香,354
04/19,18,お嬢,4,星梨花,246
04/19,18,お嬢,5,琴葉,219
04/19,18,お嬢,6,エミリー,210
04/19,18,お嬢,7,まつり,172
04/19,18,お嬢,8,紗代子,104
04/19,18,お嬢,9,志保,102
04/19,18,お嬢,10,朋花,91
04/19,19,お嬢,1,桃子,1008
04/19,19,お嬢,2,千鶴,687
04/19,19,お嬢,3,静香,364
04/19,19,お嬢,4,星梨花,247
04/19,19,お嬢,5,エミリー,241
04/19,19,お嬢,6,琴葉,222
04/19,19,お嬢,7,まつり,174
04/19,19,お嬢,8,紗代子,104
04/19,19,お嬢,9,志保,103
04/19,19,お嬢,10,朋花,92
04/19,20,お嬢,1,桃子,1024
04/19,20,お嬢,2,千鶴,700
04/19,20,お嬢,3,静香,373
04/19,20,お嬢,4,エミリー,279
04/19,20,お嬢,5,星梨花,248
04/19,20,お嬢,6,琴葉,223
04/19,20,お嬢,7,まつり,174
04/19,20,お嬢,8,紗代子,107
04/19,20,お嬢,9,志保,103
04/19,20,お嬢,10,朋花,92
04/19,21,お嬢,1,桃子,1041
04/19,21,お嬢,2,千鶴,713
04/19,21,お嬢,3,静香,384
04/19,21,お嬢,4,エミリー,308
04/19,21,お嬢,5,星梨花,255
04/19,21,お嬢,6,琴葉,227
04/19,21,お嬢,7,まつり,177
04/19,21,お嬢,8,紗代子,108
04/19,21,お嬢,9,志保,105
04/19,21,お嬢,10,朋花,93
04/19,22,お嬢,1,桃子,1077
04/19,22,お嬢,2,千鶴,740
04/19,22,お嬢,3,静香,404
04/19,22,お嬢,4,エミリー,342
04/19,22,お嬢,5,星梨花,265
04/19,22,お嬢,6,琴葉,236
04/19,22,お嬢,7,まつり,183
04/19,22,お嬢,8,紗代子,109
04/19,22,お嬢,9,志保,107
04/19,22,お嬢,10,朋花,96
04/19,23,お嬢,1,桃子,1100
04/19,23,お嬢,2,千鶴,749
04/19,23,お嬢,3,静香,416
04/19,23,お嬢,4,エミリー,352
04/19,23,お嬢,5,星梨花,278
04/19,23,お嬢,6,琴葉,242
04/19,23,お嬢,7,まつり,188
04/19,23,お嬢,8,紗代子,109
04/19,23,お嬢,9,志保,107
04/19,23,お嬢,10,朋花,99
04/20,0,お嬢,1,桃子,1123
04/20,0,お嬢,2,千鶴,762
04/20,0,お嬢,3,静香,423
04/20,0,お嬢,4,エミリー,354
04/20,0,お嬢,5,星梨花,279
04/20,0,お嬢,6,琴葉,246
04/20,0,お嬢,7,まつり,189
04/20,0,お嬢,8,紗代子,111
04/20,0,お嬢,9,志保,109
04/20,0,お嬢,10,朋花,99
04/20,1,お嬢,1,桃子,1307
04/20,1,お嬢,2,千鶴,888
04/20,1,お嬢,3,静香,489
04/20,1,お嬢,4,エミリー,413
04/20,1,お嬢,5,星梨花,297
04/20,1,お嬢,6,琴葉,262
04/20,1,お嬢,7,まつり,198
04/20,1,お嬢,8,紗代子,121
04/20,1,お嬢,9,志保,116
04/20,1,お嬢,10,朋花,102
04/20,2,お嬢,1,桃子,1349
04/20,2,お嬢,2,千鶴,919
04/20,2,お嬢,3,静香,516
04/20,2,お嬢,4,エミリー,470
04/20,2,お嬢,5,星梨花,302
04/20,2,お嬢,6,琴葉,267
04/20,2,お嬢,7,まつり,200
04/20,2,お嬢,8,紗代子,121
04/20,2,お嬢,9,志保,116
04/20,2,お嬢,10,朋花,103
04/20,3,お嬢,1,桃子,1377
04/20,3,お嬢,2,千鶴,932
04/20,3,お嬢,3,静香,525
04/20,3,お嬢,4,エミリー,498
04/20,3,お嬢,5,星梨花,305
04/20,3,お嬢,6,琴葉,268
04/20,3,お嬢,7,まつり,201
04/20,3,お嬢,8,紗代子,122
04/20,3,お嬢,9,志保,117
04/20,3,お嬢,10,朋花,105
04/20,4,お嬢,1,桃子,1386
04/20,4,お嬢,2,千鶴,936
04/20,4,お嬢,3,静香,529
04/20,4,お嬢,4,エミリー,512
04/20,4,お嬢,5,星梨花,309
04/20,4,お嬢,6,琴葉,270
04/20,4,お嬢,7,まつり,204
04/20,4,お嬢,8,紗代子,122
04/20,4,お嬢,9,志保,117
04/20,4,お嬢,10,朋花,107
04/20,5,お嬢,1,桃子,1390
04/20,5,お嬢,2,千鶴,942
04/20,5,お嬢,3,静香,532
04/20,5,お嬢,4,エミリー,515
04/20,5,お嬢,5,星梨花,309
04/20,5,お嬢,6,琴葉,270
04/20,5,お嬢,7,まつり,204
04/20,5,お嬢,8,紗代子,122
04/20,5,お嬢,9,志保,117
04/20,5,お嬢,10,朋花,108
04/20,6,お嬢,1,桃子,1413
04/20,6,お嬢,2,千鶴,951
04/20,6,お嬢,3,静香,538
04/20,6,お嬢,4,エミリー,515
04/20,6,お嬢,5,星梨花,310
04/20,6,お嬢,6,琴葉,271
04/20,6,お嬢,7,まつり,206
04/20,6,お嬢,8,紗代子,125
04/20,6,お嬢,9,志保,118
04/20,6,お嬢,10,朋花,109
04/20,7,お嬢,1,桃子,1435
04/20,7,お嬢,2,千鶴,964
04/20,7,お嬢,3,静香,540
04/20,7,お嬢,4,エミリー,525
04/20,7,お嬢,5,星梨花,325
04/20,7,お嬢,6,琴葉,275
04/20,7,お嬢,7,まつり,214
04/20,7,お嬢,8,紗代子,127
04/20,7,お嬢,9,志保,119
04/20,7,お嬢,10,朋花,110
04/20,8,お嬢,1,桃子,1478
04/20,8,お嬢,2,千鶴,994
04/20,8,お嬢,3,静香,555
04/20,8,お嬢,4,エミリー,537
04/20,8,お嬢,5,星梨花,331
04/20,8,お嬢,6,琴葉,278
04/20,8,お嬢,7,まつり,222
04/20,8,お嬢,8,紗代子,133
04/20,8,お嬢,9,志保,121
04/20,8,お嬢,10,朋花,111
04/20,9,お嬢,1,桃子,1506
04/20,9,お嬢,2,千鶴,1024
04/20,9,お嬢,3,静香,576
04/20,9,お嬢,4,エミリー,554
04/20,9,お嬢,5,星梨花,340
04/20,9,お嬢,6,琴葉,284
04/20,9,お嬢,7,まつり,224
04/20,9,お嬢,8,紗代子,133
04/20,9,お嬢,9,志保,123
04/20,9,お嬢,10,朋花,112
04/20,10,お嬢,1,桃子,1543
04/20,10,お嬢,2,千鶴,1043
04/20,10,お嬢,3,静香,584
04/20,10,お嬢,4,エミリー,571
04/20,10,お嬢,5,星梨花,344
04/20,10,お嬢,6,琴葉,286
04/20,10,お嬢,7,まつり,225
04/20,10,お嬢,8,紗代子,134
04/20,10,お嬢,9,志保,124
04/20,10,お嬢,10,朋花,114
04/20,11,お嬢,1,桃子,1558
04/20,11,お嬢,2,千鶴,1057
04/20,11,お嬢,3,静香,593
04/20,11,お嬢,4,エミリー,579
04/20,11,お嬢,5,星梨花,355
04/20,11,お嬢,6,琴葉,286
04/20,11,お嬢,7,まつり,227
04/20,11,お嬢,8,紗代子,134
04/20,11,お嬢,9,志保,124
04/20,11,お嬢,10,朋花,115
04/20,12,お嬢,1,桃子,1571
04/20,12,お嬢,2,千鶴,1083
04/20,12,お嬢,3,静香,602
04/20,12,お嬢,4,エミリー,588
04/20,12,お嬢,5,星梨花,355
04/20,12,お嬢,6,琴葉,289
04/20,12,お嬢,7,まつり,228
04/20,12,お嬢,8,紗代子,134
04/20,12,お嬢,9,志保,128
