日付,時間,役,順位,名前,得票数
04/19,15,悪徳組長,1,ひなた,856
04/19,15,悪徳組長,2,まつり,840
04/19,15,悪徳組長,3,風花,193
04/19,15,悪徳組長,4,奈緒,153
04/19,15,悪徳組長,5,朋花,74
04/19,15,悪徳組長,6,杏奈,63
04/19,15,悪徳組長,7,このみ,62
04/19,15,悪徳組長,8,志保,58
04/19,15,悪徳組長,9,莉緒,34
04/19,15,悪徳組長,10,亜利沙,33
04/19,16,悪徳組長,1,ひなた,868
04/19,16,悪徳組長,2,まつり,854
04/19,16,悪徳組長,3,風花,193
04/19,16,悪徳組長,4,奈緒,153
04/19,16,悪徳組長,5,朋花,74
04/19,16,悪徳組長,6,このみ,66
04/19,16,悪徳組長,7,杏奈,63
04/19,16,悪徳組長,8,志保,58
04/19,16,悪徳組長,9,莉緒,34
04/19,16,悪徳組長,10,亜利沙,33
04/19,17,悪徳組長,1,ひなた,881
04/19,17,悪徳組長,2,まつり,879
04/19,17,悪徳組長,3,風花,193
04/19,17,悪徳組長,4,奈緒,154
04/19,17,悪徳組長,5,朋花,76
04/19,17,悪徳組長,6,このみ,66
04/19,17,悪徳組長,7,杏奈,63
04/19,17,悪徳組長,8,志保,58
04/19,17,悪徳組長,9,千鶴,36
04/19,17,悪徳組長,10,莉緒,34
04/19,18,悪徳組長,1,まつり,910
04/19,18,悪徳組長,2,ひなた,906
04/19,18,悪徳組長,3,風花,200
04/19,18,悪徳組長,4,奈緒,156
04/19,18,悪徳組長,5,朋花,80
04/19,18,悪徳組長,6,このみ,67
04/19,18,悪徳組長,7,杏奈,63
04/19,18,悪徳組長,8,志保,58
04/19,18,悪徳組長,9,千鶴,37
04/19,18,悪徳組長,10,莉緒,34
04/19,19,悪徳組長,1,まつり,955
04/19,19,悪徳組長,2,ひなた,955
04/19,19,悪徳組長,3,風花,201
04/19,19,悪徳組長,4,奈緒,157
04/19,19,悪徳組長,5,朋花,80
04/19,19,悪徳組長,6,このみ,67
04/19,19,悪徳組長,7,杏奈,63
04/19,19,悪徳組長,8,志保,58
04/19,19,悪徳組長,9,千鶴,37
04/19,19,悪徳組長,10,莉緒,34
04/19,20,悪徳組長,1,ひなた,993
04/19,20,悪徳組長,2,まつり,989
04/19,20,悪徳組長,3,風花,206
04/19,20,悪徳組長,4,奈緒,157
04/19,20,悪徳組長,5,朋花,82
04/19,20,悪徳組長,6,このみ,68
04/19,20,悪徳組長,7,杏奈,63
04/19,20,悪徳組長,8,志保,58
04/19,20,悪徳組長,9,千鶴,37
04/19,20,悪徳組長,10,莉緒,35
04/19,21,悪徳組長,1,ひなた,1017
04/19,21,悪徳組長,2,まつり,1012
04/19,21,悪徳組長,3,風花,209
04/19,21,悪徳組長,4,奈緒,160
04/19,21,悪徳組長,5,朋花,84
04/19,21,悪徳組長,6,このみ,70
04/19,21,悪徳組長,7,杏奈,64
04/19,21,悪徳組長,8,志保,59
04/19,21,悪徳組長,9,莉緒,38
04/19,21,悪徳組長,10,千鶴,37
04/19,22,悪徳組長,1,まつり,1072
04/19,22,悪徳組長,2,ひなた,1061
04/19,22,悪徳組長,3,風花,214
04/19,22,悪徳組長,4,奈緒,161
04/19,22,悪徳組長,5,朋花,86
04/19,22,悪徳組長,6,このみ,73
04/19,22,悪徳組長,7,杏奈,64
04/19,22,悪徳組長,8,志保,59
04/19,22,悪徳組長,9,莉緒,38
04/19,22,悪徳組長,10,千鶴,37
04/19,23,悪徳組長,1,まつり,1130
04/19,23,悪徳組長,2,ひなた,1093
04/19,23,悪徳組長,3,風花,223
04/19,23,悪徳組長,4,奈緒,163
04/19,23,悪徳組長,5,朋花,88
04/19,23,悪徳組長,6,このみ,74
04/19,23,悪徳組長,7,杏奈,66
04/19,23,悪徳組長,8,志保,59
04/19,23,悪徳組長,9,莉緒,39
04/19,23,悪徳組長,10,千鶴,37
04/20,0,悪徳組長,1,まつり,1156
04/20,0,悪徳組長,2,ひなた,1145
04/20,0,悪徳組長,3,風花,231
04/20,0,悪徳組長,4,奈緒,165
04/20,0,悪徳組長,5,朋花,91
04/20,0,悪徳組長,6,このみ,81
04/20,0,悪徳組長,7,杏奈,66
04/20,0,悪徳組長,8,志保,59
04/20,0,悪徳組長,9,莉緒,41
04/20,0,悪徳組長,10,千鶴,37
04/20,1,悪徳組長,1,まつり,1445
04/20,1,悪徳組長,2,ひなた,1441
04/20,1,悪徳組長,3,風花,270
04/20,1,悪徳組長,4,奈緒,169
04/20,1,悪徳組長,5,朋花,106
04/20,1,悪徳組長,6,このみ,83
04/20,1,悪徳組長,7,杏奈,73
04/20,1,悪徳組長,8,志保,61
04/20,1,悪徳組長,9,莉緒,45
04/20,1,悪徳組長,10,茜,39
04/20,2,悪徳組長,1,ひなた,1529
04/20,2,悪徳組長,2,まつり,1520
04/20,2,悪徳組長,3,風花,289
04/20,2,悪徳組長,4,奈緒,174
04/20,2,悪徳組長,5,朋花,113
04/20,2,悪徳組長,6,このみ,83
04/20,2,悪徳組長,7,杏奈,73
04/20,2,悪徳組長,8,志保,62
04/20,2,悪徳組長,9,莉緒,46
04/20,2,悪徳組長,10,千鶴,41
04/20,3,悪徳組長,1,まつり,1572
04/20,3,悪徳組長,2,ひなた,1563
04/20,3,悪徳組長,3,風花,292
04/20,3,悪徳組長,4,奈緒,176
04/20,3,悪徳組長,5,朋花,114
04/20,3,悪徳組長,6,このみ,85
04/20,3,悪徳組長,7,杏奈,73
04/20,3,悪徳組長,8,志保,62
04/20,3,悪徳組長,9,莉緒,46
04/20,3,悪徳組長,10,千鶴,42
04/20,4,悪徳組長,1,まつり,1582
04/20,4,悪徳組長,2,ひなた,1574
04/20,4,悪徳組長,3,風花,302
04/20,4,悪徳組長,4,奈緒,176
04/20,4,悪徳組長,5,朋花,115
04/20,4,悪徳組長,6,このみ,85
04/20,4,悪徳組長,7,杏奈,73
04/20,4,悪徳組長,8,志保,62
04/20,4,悪徳組長,9,莉緒,46
04/20,4,悪徳組長,10,千鶴,42
04/20,5,悪徳組長,1,まつり,1595
04/20,5,悪徳組長,2,ひなた,1580
04/20,5,悪徳組長,3,風花,302
04/20,5,悪徳組長,4,奈緒,176
04/20,5,悪徳組長,5,朋花,115
04/20,5,悪徳組長,6,このみ,86
04/20,5,悪徳組長,7,杏奈,73
04/20,5,悪徳組長,8,志保,62
04/20,5,悪徳組長,9,莉緒,46
04/20,5,悪徳組長,10,亜利沙,44
04/20,6,悪徳組長,1,まつり,1610
04/20,6,悪徳組長,2,ひなた,1608
04/20,6,悪徳組長,3,風花,304
04/20,6,悪徳組長,4,奈緒,182
04/20,6,悪徳組長,5,朋花,116
04/20,6,悪徳組長,6,このみ,88
04/20,6,悪徳組長,7,杏奈,73
04/20,6,悪徳組長,8,志保,62
04/20,6,悪徳組長,9,莉緒,46
