日付,時間,役,順位,名前,得票数
04/19,15,幼なじみ,3,琴葉,110
04/19,15,幼なじみ,4,翼,84
04/19,15,幼なじみ,5,海美,81
04/19,15,幼なじみ,6,エレナ,54
04/19,15,幼なじみ,7,昴,47
04/19,15,幼なじみ,8,静香,40
04/19,15,幼なじみ,9,志保,40
04/19,15,幼なじみ,10,奈緒,39
04/19,16,幼なじみ,1,恵美,846
04/19,16,幼なじみ,2,美奈子,690
04/19,16,幼なじみ,3,琴葉,110
04/19,16,幼なじみ,4,翼,87
04/19,16,幼なじみ,5,海美,81
04/19,16,幼なじみ,6,エレナ,54
04/19,16,幼なじみ,7,昴,47
04/19,16,幼なじみ,8,静香,42
04/19,16,幼なじみ,9,志保,41
04/19,16,幼なじみ,10,奈緒,40
04/19,17,幼なじみ,1,恵美,853
04/19,17,幼なじみ,2,美奈子,704
04/19,17,幼なじみ,3,琴葉,111
04/19,17,幼なじみ,4,翼,87
04/19,17,幼なじみ,5,海美,83
04/19,17,幼なじみ,6,エレナ,54
04/19,17,幼なじみ,7,昴,47
04/19,17,幼なじみ,8,静香,42
04/19,17,幼なじみ,9,志保,41
04/19,17,幼なじみ,10,奈緒,40
04/19,18,幼なじみ,1,恵美,865
04/19,18,幼なじみ,2,美奈子,724
04/19,18,幼なじみ,3,琴葉,112
04/19,18,幼なじみ,4,翼,87
04/19,18,幼なじみ,5,海美,85
04/19,18,幼なじみ,6,エレナ,54
04/19,18,幼なじみ,7,昴,47
04/19,18,幼なじみ,8,静香,43
04/19,18,幼なじみ,9,志保,41
04/19,18,幼なじみ,10,奈緒,40
04/19,19,幼なじみ,1,恵美,886
04/19,19,幼なじみ,2,美奈子,745
04/19,19,幼なじみ,3,琴葉,114
04/19,19,幼なじみ,4,翼,89
04/19,19,幼なじみ,5,海美,85
04/19,19,幼なじみ,6,エレナ,54
04/19,19,幼なじみ,7,昴,49
04/19,19,幼なじみ,8,静香,44
04/19,19,幼なじみ,9,志保,41
04/19,19,幼なじみ,10,奈緒,40
04/19,20,幼なじみ,1,恵美,904
04/19,20,幼なじみ,2,美奈子,769
04/19,20,幼なじみ,3,琴葉,114
