日付,時間,役,順位,名前,得票数
04/19,20,部長,1,瑞希,876
04/19,20,部長,2,このみ,744
04/19,20,部長,3,紗代子,83
04/19,20,部長,4,琴葉,81
04/19,20,部長,5,亜利沙,61
04/19,20,部長,6,莉緒,48
04/19,20,部長,7,千鶴,31
04/19,20,部長,8,恵美,28
04/19,20,部長,9,麗花,28
04/19,20,部長,10,風花,26
04/19,21,部長,1,瑞希,900
04/19,21,部長,2,このみ,753
04/19,21,部長,3,紗代子,84
04/19,21,部長,4,琴葉,82
04/19,21,部長,5,亜利沙,61
04/19,21,部長,6,莉緒,49
04/19,21,部長,7,千鶴,31
04/19,21,部長,8,恵美,29
04/19,21,部長,9,麗花,28
04/19,21,部長,10,風花,27
04/19,22,部長,1,瑞希,925
04/19,22,部長,2,このみ,776
04/19,22,部長,3,琴葉,86
04/19,22,部長,4,紗代子,84
04/19,22,部長,5,亜利沙,61
04/19,22,部長,6,莉緒,52
04/19,22,部長,7,千鶴,31
04/19,22,部長,8,恵美,30
04/19,22,部長,9,麗花,29
04/19,22,部長,10,風花,29
04/19,23,部長,1,瑞希,937
04/19,23,部長,2,このみ,797
04/19,23,部長,3,紗代子,88
04/19,23,部長,4,琴葉,87
04/19,23,部長,5,亜利沙,61
04/19,23,部長,6,莉緒,52
04/19,23,部長,7,千鶴,31
04/19,23,部長,8,恵美,31
04/19,23,部長,9,麗花,30
04/19,23,部長,10,風花,30
04/20,0,部長,1,瑞希,971
04/20,0,部長,2,このみ,834
04/20,0,部長,3,紗代子,89
04/20,0,部長,4,琴葉,87
04/20,0,部長,5,亜利沙,61
04/20,0,部長,6,莉緒,52
04/20,0,部長,7,風花,32
04/20,0,部長,8,千鶴,32
04/20,0,部長,9,麗花,32
04/20,0,部長,10,恵美,31
04/20,1,部長,1,瑞希,1177
04/20,1,部長,2,このみ,969
04/20,1,部長,3,紗代子,96
04/20,1,部長,4,琴葉,90
04/20,1,部長,5,亜利沙,62
04/20,1,部長,6,莉緒,53
04/20,1,部長,7,麗花,35
04/20,1,部長,8,恵美,34
04/20,1,部長,9,風花,34
04/20,1,部長,10,千鶴,34
04/20,2,部長,1,瑞希,1236
04/20,2,部長,2,このみ,1005
04/20,2,部長,3,紗代子,102
04/20,2,部長,4,琴葉,90
04/20,2,部長,5,亜利沙,62
04/20,2,部長,6,莉緒,53
04/20,2,部長,7,麗花,35
04/20,2,部長,8,恵美,34
04/20,2,部長,9,風花,34
04/20,2,部長,10,千鶴,34
04/20,3,部長,1,瑞希,1260
04/20,3,部長,2,このみ,1053
04/20,3,部長,3,紗代子,104
04/20,3,部長,4,琴葉,91
04/20,3,部長,5,亜利沙,64
04/20,3,部長,6,莉緒,53
04/20,3,部長,7,麗花,35
04/20,3,部長,8,恵美,34
04/20,3,部長,9,風花,34
04/20,3,部長,10,千鶴,34
04/20,4,部長,1,瑞希,1277
04/20,4,部長,2,このみ,1066
04/20,4,部長,3,紗代子,106
04/20,4,部長,4,琴葉,92
04/20,4,部長,5,亜利沙,64
04/20,4,部長,6,莉緒,53
04/20,4,部長,7,恵美,38
04/20,4,部長,8,麗花,35
04/20,4,部長,9,風花,34
04/20,4,部長,10,千鶴,34
04/20,5,部長,1,瑞希,1280
04/20,5,部長,2,このみ,1068
04/20,5,部長,3,紗代子,106
04/20,5,部長,4,琴葉,92
04/20,5,部長,5,亜利沙,64
04/20,5,部長,6,莉緒,62
04/20,5,部長,7,恵美,38
04/20,5,部長,8,麗花,35
04/20,5,部長,9,千鶴,35
04/20,5,部長,10,風花,34
04/20,6,部長,1,瑞希,1284
04/20,6,部長,2,このみ,1079
04/20,6,部長,3,紗代子,110
04/20,6,部長,4,琴葉,92
04/20,6,部長,5,亜利沙,64
04/20,6,部長,6,莉緒,62
04/20,6,部長,7,恵美,38
04/20,6,部長,8,麗花,35
04/20,6,部長,9,千鶴,35
04/20,6,部長,10,風花,34
04/20,7,部長,1,瑞希,1316
04/20,7,部長,2,このみ,1100
04/20,7,部長,3,紗代子,111
04/20,7,部長,4,琴葉,95
04/20,7,部長,5,亜利沙,66
04/20,7,部長,6,莉緒,62
04/20,7,部長,7,恵美,39
04/20,7,部長,8,麗花,37
04/20,7,部長,9,千鶴,35
04/20,7,部長,10,風花,34
04/20,8,部長,1,瑞希,1344
04/20,8,部長,2,このみ,1160
04/20,8,部長,3,紗代子,113
04/20,8,部長,4,琴葉,96
04/20,8,部長,5,亜利沙,68
04/20,8,部長,6,莉緒,62
04/20,8,部長,7,千鶴,41
04/20,8,部長,8,恵美,39
04/20,8,部長,9,麗花,37
04/20,8,部長,10,風花,34
04/20,9,部長,1,瑞希,1394
04/20,9,部長,2,このみ,1194
04/20,9,部長,3,紗代子,115
04/20,9,部長,4,琴葉,97
04/20,9,部長,5,亜利沙,70
04/20,9,部長,6,莉緒,62
04/20,9,部長,7,千鶴,42
04/20,9,部長,8,恵美,39
04/20,9,部長,9,麗花,37
04/20,9,部長,10,風花,34
04/20,10,部長,1,瑞希,1411
04/20,10,部長,2,このみ,1203
04/20,10,部長,3,紗代子,117
04/20,10,部長,4,琴葉,99
04/20,10,部長,5,亜利沙,70
04/20,10,部長,6,莉緒,62
04/20,10,部長,7,千鶴,42
04/20,10,部長,8,恵美,39
04/20,10,部長,9,麗花,37
04/20,10,部長,10,風花,35
04/20,11,部長,1,瑞希,1436
04/20,11,部長,2,このみ,1217
04/20,11,部長,3,紗代子,117
04/20,11,部長,4,琴葉,99
04/20,11,部長,5,亜利沙,76
04/20,11,部長,6,莉緒,62
04/20,11,部長,7,千鶴,42
04/20,11,部長,8,恵美,39
04/20,11,部長,9,麗花,37
04/20,11,部長,10,風花,35
04/20,12,部長,1,瑞希,1459
04/20,12,部長,2,このみ,1231
04/20,12,部長,3,紗代子,117
04/20,12,部長,4,琴葉,99
04/20,12,部長,5,亜利沙,78
04/20,12,部長,6,莉緒,62
04/20,12,部長,7,千鶴,42
04/20,12,部長,8,恵美,39
04/20,12,部長,9,麗花,38
04/20,12,部長,10,風花,35
04/20,13,部長,1,瑞希,1485
04/20,13,部長,2,このみ,1239
04/20,13,部長,3,紗代子,117
04/20,13,部長,4,琴葉,100
04/20,13,部長,5,亜利沙,78
04/20,13,部長,6,莉緒,67
04/20,13,部長,7,千鶴,42
